ProductId	ManufPartNo	Brand	Description	Price	Stock	Category1	Category2	EAN	Status	ReleaseDate
4369187	824974	BETHESDASO	Wolfenstein II:The new Colussus - Win - ESD	"176.24"	9876	Games	Gry - akcja		Live	10/27/2017 12:00:00 AM CET
4379854	825400	COREL	AfterShot Pro 3	"236.78"	9876	Graphics and Media			Live	
4398712	825562	BANDAINAMC	Little Nightmares - Complete Edition - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"89.59"	9876	Games	Games - adventure	2000006173058	Live	6/7/2017 12:00:00 AM CET
4444005	825858	GM 2KGAMES	XCOM 2: War of the Chosen - DLC - Win - ESD	"108.11"	9876	Games			Live	8/29/2017 12:00:00 AM CET
4446209	827386	BANDAINAMC	NARUTO Shippuden Ultimate Ninja Storm Legacy - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"209.18"	9876	Games			Live	8/25/2017 12:00:00 AM CET
4456848	827661	FERAL	XCOM 2 War of the Chosen - DLC - Mac - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"115.73"	9876	Games			Live	8/31/2017 12:00:00 AM CET
4466393	827695	THQ	Baja Edge of Control HD - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"86.47"	9876	Games			Live	9/14/2017 12:00:00 AM CET
4498577	825355	BETHESDASO	The Evil Within 2 - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"176.24"	9876	Games			Live	10/13/2017 12:00:00 AM CET
4502793	829057	GM 2KGAMES	Sid Meiers Civilization VI - Khmer and Indonesia Civilization & Scenario Pack - DLC - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam, nie mo¿na uwierzytelniæ poza Europ¹, Bliskim Wschodem i Afryk¹ - angielski	"24.28"	9876	Games			Live	10/19/2017 12:00:00 AM CET
4533859	829461	BANDAINAMC	.hack//G.U. Last Recode - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"149.39"	9876	Games			Live	11/3/2017 12:00:00 AM CET
4545607	824845	WARNER	LEGO Marvel Super Heroes 2 - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"83.54"	9876	Games			Live	11/14/2017 12:00:00 AM CET
4546849	829978	PARADOXINT	Pillars of Eternity - Definitive Edition - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"104.62"	9876	Games			Live	11/15/2017 12:00:00 AM CET
4547881	830117	PARADOXINT	Europa Universalis IV: Cradle of Civilization - DLC - Mac, Win, Linux - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"56.56"	9876	Games			Live	11/16/2017 12:00:00 AM CET
4548075	829939	MAGIX	MAGIX Movie Edit Pro 2018 Plus - Licencja - download - ESD - Win	"260.81"	9876	Design software			Live	9/15/2017 12:00:00 AM CET
4548080	829942	MAGIX	MAGIX Photostory 2018 Deluxe	"182.59"	9876	Design software			Live	11/9/2017 12:00:00 AM CET
4583401	830942	ROCKSTAR	L.A. Noire The VR Case Files - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"89.76"	9876	Games			Live	12/15/2017 12:00:00 AM CET
4592404	831409	ROCKSTAR	Grand Theft Auto V - Win - ESD - angielski - z Criminal Enterprise Starter Pack	"162.12"	9876	Games			Live	12/19/2017 12:00:00 AM CET
4629536	831448	COREL	WinZip 22 PRO	"193.30"	9876	Utilities Software			Live	
4668281	833219	PARADOXINT	Steel Division Normandy 44 - Back To Hell - DLC - Win - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"42.36"	9876	Games			Live	2/13/2018 12:00:00 AM CET
4672343	833712	KASPERSKY	Kaspersky Total Security 1 year GB 3Users / iOS/Vista/Win XP/7  32/64 bits/8 32/64 bits/8.1 32/64 bits/10 32/64 bits/Mac OS X/iPad/Android	"185.84"	9876	Security Software			Live	9/5/2016 12:00:00 AM CET
4676126	833697	PARADOXINT	Stellaris Apocalypse - DLC - Mac, Win, Linux - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"56.56"	9876	Games			Live	2/22/2018 12:00:00 AM CET
4686741	834488	COREL	Painter 2018 Upgrade / Win 7 64 bits/8 64 bits/WIN 10 64 bits/Mac OS X	"558.80"	9876	Utilities Software			Live	
4700918	834988	DISNEY	Disneys Aladdin - Mac, Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"28.54"	9876	Games			Live	11/11/1993 12:00:00 AM CET
4706648	S2T-00009	Microsoft	Microsoft Xbox XBO LIVE 3-mo Digital FG CIS EuroZone Online Product Key License 1 License ESD R17	"57.46"	9876	Games			Live	
4706797	835218	THQ	MX vs. ATV All Out - Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"115.31"	9876	Games			Live	3/27/2018 12:00:00 AM CET
4709896	835318	BETHESDASO	The Elder Scrolls Online: Summerset Upgrade - Collectors Edition - Mac, Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam	"117.47"	9876	Games			Live	5/21/2018 12:00:00 AM CET
4709897	835351	WARNER	Injustice 2 - Legendary Edition - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"167.13"	9876	Games			Live	3/27/2018 12:00:00 AM CET
4756047	836543	COREL	CorelDRAW Graphics Suite 2018 Upgrade / Win 7  32/64 bits/8.1 32/64 bits/10 32/64 bits	"1152.27"	9876	Utilities Software			Live	
4760360	836394	VS EVIL	Pillars of Eternity II: Deadfire - Season Pass - DLC - Mac, Win, Linux - ESD - angielski	"72.02"	9876	Games			Live	5/8/2018 12:00:00 AM CET
4761251	832952	VS EVIL	Pillars of Eternity II: Deadfire - Obsidian Edition - Mac, Win, Linux - ESD - angielski	"198.96"	9876	Games			Live	5/8/2018 12:00:00 AM CET
4764992	836897	PARADOXINT	Stellaris Distant Stars - DLC - Mac, Win, Linux - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"28.27"	9876	Games			Live	5/22/2018 12:00:00 AM CET
4789670	837617	GM 2KGAMES	NBA 2K19 - Win - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"135.14"	9876	Games			Live	9/11/2018 12:00:00 AM CET
4817258	459053	IRIS	IRISmart Invoice 10 - Refill of 500 invoices	"556.84"	9876	Desktop applications			Live	
4817269	459414	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (3 lata) - 1 u¿ytkownik - volume - 5-49 licenses - ESD - Win	"529.68"	9876	Desktop applications			Live	
4817270	459416	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (5 years) - 1 u¿ytkownik - volume - 5-49 licenses - ESD - Win	"674.55"	9876	Desktop applications			Live	
4817274	459418	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (1 rok) - 1 u¿ytkownik - volume - 1000+ level - ESD - Win	"167.50"	9876	Desktop applications			Live	
4817275	459419	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (1 rok) - 1 u¿ytkownik - ESD - Mac	"556.84"	9876	Desktop applications			Live	
4817277	459421	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (5 years) - 1 u¿ytkownik - ESD - Mac	"959.76"	9876	Desktop applications			Live	
4817283	459479	IRIS	IRIS Readiris Corporate - (wersja 17) - konserwacja (1 rok) - 1 u¿ytkownik - volume - 250-499 licenses - ESD - Mac	"280.69"	9876	Desktop applications			Live	
4818023	S3T-00004	Microsoft	XBOX  6 MONTH EUROZONE ONLINE ESD GAMEPASS R15	"187.62"	9876	Games			Live	
4819187	D86-05822	Microsoft	Microsoft Visio Standard 2019 - Licencja - 1 PC - download - ESD - Click-to-Run - Win - Wszystkie jêzyki	"1145.60"	9876	Desktop applications			Live	
4820718	838098	THQ	Red Faction Guerrilla - Re-Mars-tered - Win - download - ESD - Klawisz aktywacji musi byæ u¿yty na wa¿nym koncie Steam - angielski	"57.63"	9876	Games			Live	7/3/2018 12:00:00 AM CET
