SAPNo;QBCena;QB;Waluta
2602228;1782,77;2;PLN
2602229;1168,46;2;PLN
2602230;1835,45;2;PLN
2602231;224,96;2;PLN
2602232;487,96;2;PLN
2602233;311,13;2;PLN
2602238;904,01;2;PLN
2602241;516,92;2;PLN
2602242;1465,33;2;PLN
2602243;775,57;2;PLN
2602244;1179,11;2;PLN
2602246;170,12;2;PLN
2602247;170,12;2;PLN
2602248;170,12;2;PLN
2602249;170,44;2;PLN
2602250;242,38;2;PLN
2602251;247,18;2;PLN
2602252;525,58;2;PLN
2607454;516,92;2;PLN
2607455;1140,98;2;PLN
2607456;775,61;2;PLN
2607457;1448,09;2;PLN
2607458;1782,77;2;PLN
2607459;766,38;2;PLN
2607460;1179,11;2;PLN
2607461;1782,77;2;PLN
2607462;480,23;2;PLN
2607463;368,66;2;PLN
2607464;1134,93;2;PLN
2607465;480,23;2;PLN
2607466;480,23;2;PLN
2607467;499,56;2;PLN
2607468;511,73;2;PLN
2607469;499,56;2;PLN
2607470;499,56;2;PLN
2643146;330,18;2;PLN
2643147;229,23;2;PLN
2643148;330,18;2;PLN
2643149;330,18;2;PLN
2643154;383,75;2;PLN
2643155;345,12;2;PLN
2643156;375,40;2;PLN
2643157;383,75;2;PLN
2643162;408,70;2;PLN
2643163;491,55;2;PLN
2643164;408,70;2;PLN
2643165;408,70;2;PLN
2650462;484,11;2;PLN
2650463;643,56;2;PLN
2650464;655,69;2;PLN
2650465;655,47;2;PLN
2650466;655,51;2;PLN
2650503;24,04;2;PLN
2650505;8,99;2;PLN
2650508;7,79;2;PLN
2650512;237,32;2;PLN
2655750;771,89;2;PLN
2655792;771,89;2;PLN
2655793;771,89;2;PLN
2660091;383,03;2;PLN
2660093;354,65;2;PLN
2660094;383,03;2;PLN
2660095;394,35;2;PLN
2660096;330,18;2;PLN
2660097;229,23;2;PLN
2660098;330,18;2;PLN
2660099;330,18;2;PLN
2660100;413,54;2;PLN
2660101;483,09;2;PLN
2660102;415,77;2;PLN
2660103;420,78;2;PLN
2663149;25,61;283;PLN
2664944;86,38;5;PLN
2664944;85,04;10;PLN
2664945;91,83;5;PLN
2664945;90,40;10;PLN
2667884;180,22;6;PLN
2683164;84,61;2;PLN
2690511;350,09;5;PLN
2690511;344,65;10;PLN
2711217;2413,66;11;PLN
2711217;2859,87;279;PLN
2712794;2584,21;11;PLN
2712794;3075,18;151;PLN
2736312;798,32;2;PLN
2739811;15,27;2;PLN
2739814;6,09;2;PLN
2739815;5,98;2;PLN
2739816;9,33;2;PLN
2744676;38,88;5;PLN
2744676;38,27;10;PLN
2744677;46,83;5;PLN
2744677;46,10;10;PLN
2744678;81,33;5;PLN
2744678;80,07;10;PLN
2803053;71,38;99;PLN
2805090;118,60;5;PLN
2805090;116,76;10;PLN
2834626;86,49;5;PLN
2834626;85,14;10;PLN
2847403;47,28;2;PLN
2847404;58,18;2;PLN
2847405;67,30;2;PLN
2847406;66,77;2;PLN
2847408;59,60;2;PLN
2847492;99,37;2;PLN
2847493;67,32;2;PLN
2847494;68,00;2;PLN
